from_stop_I,to_stop_I,label,d,n_vehicles
81,383,"[0, 0, 0, 1, 0]",1086.0,33.0
81,2495,"[0, 0, 0, 1, 0]",2505.0,35.0
82,81,"[0, 0, 0, 1, 0]",675.0,68.0
82,900,"[0, 0, 0, 1, 0]",1185.0,68.0
83,47,"[0, 0, 0, 1, 0]",487.0,55.0
83,50,"[0, 0, 0, 1, 0]",604.0,91.0
83,62,"[0, 0, 0, 1, 0]",353.0,309.0
83,68,"[0, 0, 0, 1, 0]",531.0,96.0
83,73,"[0, 0, 0, 1, 0]",386.0,64.0
84,43,"[0, 0, 0, 1, 0]",1350.0,98.0
84,67,"[0, 0, 0, 1, 0]",251.0,96.0
86,59,"[0, 0, 0, 1, 0]",411.0,13.0
86,63,"[0, 0, 0, 1, 0]",345.0,14.0
87,2216,"[0, 0, 0, 1, 0]",249.0,14.0
87,2217,"[0, 0, 0, 1, 0]",363.0,14.0
91,103,"[0, 0, 0, 1, 0]",460.0,83.0
91,118,"[0, 0, 0, 1, 0]",138.0,83.0
93,94,"[0, 0, 0, 1, 0]",631.0,34.0
93,2053,"[0, 0, 0, 1, 0]",896.0,34.0
94,93,"[0, 0, 0, 1, 0]",631.0,34.0
94,1495,"[0, 0, 0, 1, 0]",1155.0,34.0
97,99,"[0, 0, 0, 1, 0]",197.0,12.0
98,100,"[0, 0, 0, 1, 0]",414.0,25.0
99,97,"[0, 0, 0, 1, 0]",197.0,10.0
99,174,"[0, 0, 0, 1, 0]",3156.0,12.0
100,98,"[0, 0, 0, 1, 0]",414.0,26.0
100,113,"[0, 0, 0, 1, 0]",672.0,35.0
100,1566,"[0, 0, 0, 1, 0]",163.0,25.0
100,2337,"[0, 0, 0, 1, 0]",389.0,35.0
101,57,"[0, 0, 0, 1, 0]",228.0,3.0
101,104,"[0, 0, 0, 1, 0]",409.0,72.0
101,116,"[0, 0, 0, 1, 0]",301.0,69.0
102,111,"[0, 0, 0, 1, 0]",504.0,60.0
102,1572,"[0, 0, 0, 1, 0]",767.0,47.0
102,2461,"[0, 0, 0, 1, 0]",434.0,107.0
103,91,"[0, 0, 0, 1, 0]",460.0,83.0
103,113,"[0, 0, 0, 1, 0]",413.0,83.0
104,101,"[0, 0, 0, 1, 0]",409.0,72.0
104,2464,"[0, 0, 0, 1, 0]",709.0,2.0
104,2466,"[0, 0, 0, 1, 0]",294.0,70.0
107,109,"[0, 0, 0, 1, 0]",451.0,14.0
107,316,"[0, 0, 0, 1, 0]",1386.0,19.0
107,2548,"[0, 0, 0, 1, 0]",2422.0,7.0
109,107,"[0, 0, 0, 1, 0]",451.0,12.0
109,2208,"[0, 0, 0, 1, 0]",1598.0,14.0
111,102,"[0, 0, 0, 1, 0]",504.0,61.0
111,119,"[0, 0, 0, 1, 0]",310.0,60.0
113,45,"[0, 0, 1, 0, 0]",788.0,39.0
113,64,"[0, 0, 0, 1, 0]",244.0,48.0
113,100,"[0, 0, 0, 1, 0]",672.0,35.0
113,103,"[0, 0, 0, 1, 0]",413.0,83.0
113,463,"[0, 0, 1, 0, 0]",911.0,38.0
116,101,"[0, 0, 0, 1, 0]",301.0,70.0
116,118,"[0, 0, 0, 1, 0]",387.0,69.0
118,63,"[0, 0, 0, 1, 0]",158.0,13.0
118,91,"[0, 0, 0, 1, 0]",138.0,83.0
118,116,"[0, 0, 0, 1, 0]",387.0,70.0
119,57,"[0, 0, 0, 1, 0]",652.0,2.0
119,60,"[0, 0, 0, 1, 0]",331.0,98.0
