from_stop_I,to_stop_I,label,d,n_vehicles
97,3,"[0, 0, 0, 1, 0]",298.0,34.0
98,1058,"[0, 0, 0, 1, 0]",695.0,4.0
99,1619,"[0, 0, 0, 1, 0]",215.0,80.0
100,586,"[0, 0, 0, 1, 0]",296.0,53.0
101,2036,"[0, 0, 0, 1, 0]",296.0,94.0
102,1095,"[0, 0, 0, 1, 0]",375.0,30.0
102,2684,"[0, 0, 0, 1, 0]",649.0,10.0
103,206,"[0, 0, 0, 1, 0]",189.0,104.0
104,2357,"[0, 0, 0, 1, 0]",249.0,64.0
105,337,"[0, 0, 0, 1, 0]",238.0,24.0
106,600,"[0, 0, 0, 1, 0]",358.0,30.0
107,359,"[0, 0, 0, 1, 0]",359.0,36.0
108,782,"[0, 0, 0, 1, 0]",223.0,90.0
109,954,"[0, 0, 0, 1, 0]",227.0,116.0
110,1818,"[0, 0, 0, 1, 0]",570.0,41.0
111,1117,"[0, 0, 0, 1, 0]",412.0,81.0
112,843,"[0, 0, 0, 1, 0]",352.0,20.0
113,264,"[0, 0, 0, 1, 0]",221.0,92.0
114,825,"[0, 0, 0, 1, 0]",219.0,84.0
115,312,"[0, 0, 0, 1, 0]",514.0,94.0
116,917,"[0, 0, 0, 1, 0]",455.0,38.0
117,1618,"[0, 0, 0, 1, 0]",462.0,54.0
118,215,"[0, 0, 0, 1, 0]",633.0,19.0
119,1616,"[0, 0, 0, 1, 0]",260.0,49.0
120,1820,"[0, 0, 0, 1, 0]",299.0,103.0
120,2561,"[0, 0, 0, 1, 0]",357.0,4.0
121,400,"[0, 0, 0, 1, 0]",262.0,53.0
122,667,"[0, 0, 0, 1, 0]",244.0,96.0
123,1790,"[0, 0, 0, 1, 0]",494.0,74.0
123,2497,"[0, 0, 0, 1, 0]",514.0,19.0
123,3117,"[0, 0, 0, 1, 0]",616.0,17.0
124,1060,"[0, 0, 0, 1, 0]",200.0,69.0
125,1799,"[0, 0, 0, 1, 0]",441.0,66.0
125,2384,"[0, 0, 0, 1, 0]",1419.0,3.0
126,181,"[0, 0, 0, 1, 0]",255.0,93.0
127,1440,"[0, 0, 0, 1, 0]",333.0,96.0
128,830,"[0, 0, 0, 1, 0]",249.0,24.0
129,2973,"[0, 0, 0, 1, 0]",628.0,105.0
130,2380,"[0, 0, 0, 1, 0]",579.0,88.0
131,171,"[0, 0, 0, 1, 0]",299.0,74.0
132,1953,"[0, 0, 0, 1, 0]",326.0,62.0
132,2799,"[0, 0, 0, 1, 0]",246.0,27.0
133,2472,"[0, 0, 0, 1, 0]",404.0,109.0
134,1134,"[0, 0, 0, 1, 0]",311.0,193.0
134,3118,"[0, 0, 0, 1, 0]",1006.0,6.0
135,372,"[0, 0, 0, 1, 0]",459.0,47.0
136,446,"[0, 0, 0, 1, 0]",347.0,47.0
137,545,"[0, 0, 0, 1, 0]",292.0,22.0
138,568,"[0, 0, 0, 1, 0]",283.0,94.0
139,276,"[0, 0, 0, 1, 0]",206.0,34.0
140,1621,"[0, 0, 0, 1, 0]",239.0,94.0
140,2790,"[0, 0, 0, 1, 0]",290.0,39.0
141,30,"[0, 0, 0, 1, 0]",420.0,19.0
141,1789,"[0, 0, 0, 1, 0]",255.0,16.0
142,1569,"[0, 0, 0, 1, 0]",433.0,20.0
143,340,"[0, 0, 0, 1, 0]",449.0,48.0
144,2756,"[0, 0, 0, 1, 0]",297.0,19.0
145,1981,"[0, 0, 0, 1, 0]",255.0,66.0
146,1954,"[0, 0, 0, 1, 0]",234.0,89.0
147,32,"[0, 0, 0, 1, 0]",233.0,25.0
148,1146,"[0, 0, 0, 1, 0]",233.0,122.0
149,1586,"[0, 0, 0, 1, 0]",397.0,37.0
150,1960,"[0, 0, 0, 1, 0]",349.0,63.0
151,1260,"[0, 0, 0, 1, 0]",340.0,16.0
152,999,"[0, 0, 0, 1, 0]",219.0,138.0
153,63,"[0, 0, 0, 1, 0]",372.0,28.0
154,1738,"[0, 0, 0, 1, 0]",480.0,54.0
155,1448,"[0, 0, 0, 1, 0]",321.0,94.0
155,1655,"[0, 0, 0, 1, 0]",237.0,65.0
156,152,"[0, 0, 0, 1, 0]",218.0,66.0
157,2792,"[0, 0, 0, 1, 0]",176.0,27.0
158,335,"[0, 0, 0, 1, 0]",254.0,35.0
159,1364,"[0, 0, 0, 1, 0]",455.0,119.0
160,916,"[0, 0, 0, 1, 0]",137.0,27.0
161,1519,"[0, 0, 0, 1, 0]",374.0,92.0
162,1169,"[0, 0, 0, 1, 0]",182.0,41.0
163,272,"[0, 0, 0, 1, 0]",145.0,74.0
164,2824,"[0, 0, 0, 1, 0]",364.0,13.0
165,937,"[0, 0, 0, 1, 0]",310.0,12.0
166,1190,"[0, 0, 0, 1, 0]",557.0,22.0
167,1430,"[0, 0, 0, 1, 0]",244.0,35.0
168,2399,"[0, 0, 0, 1, 0]",332.0,101.0
169,22,"[0, 0, 0, 1, 0]",336.0,54.0
170,373,"[0, 0, 0, 1, 0]",480.0,20.0
171,447,"[0, 0, 0, 1, 0]",298.0,74.0
172,40,"[0, 0, 0, 1, 0]",136.0,29.0
172,2608,"[0, 0, 0, 1, 0]",356.0,115.0
173,150,"[0, 0, 0, 1, 0]",228.0,63.0
173,2957,"[0, 0, 0, 1, 0]",320.0,27.0
174,3051,"[0, 0, 0, 1, 0]",320.0,46.0
175,967,"[0, 0, 0, 1, 0]",494.0,2.0
176,787,"[0, 0, 0, 1, 0]",213.0,47.0
177,2203,"[0, 0, 0, 1, 0]",453.0,32.0
178,1683,"[0, 0, 0, 1, 0]",280.0,22.0
178,1718,"[0, 0, 0, 1, 0]",353.0,70.0
179,2245,"[0, 0, 0, 1, 0]",356.0,67.0
180,1563,"[0, 0, 0, 1, 0]",255.0,47.0
181,1489,"[0, 0, 0, 1, 0]",286.0,93.0
182,85,"[0, 0, 0, 1, 0]",367.0,102.0
183,2426,"[0, 0, 0, 1, 0]",370.0,93.0
184,1518,"[0, 0, 0, 1, 0]",180.0,39.0
185,3080,"[0, 0, 0, 1, 0]",417.0,12.0
186,1746,"[0, 0, 0, 1, 0]",181.0,18.0
186,1767,"[0, 0, 0, 1, 0]",221.0,22.0
187,3201,"[0, 0, 0, 1, 0]",435.0,94.0
188,592,"[0, 0, 0, 1, 0]",174.0,94.0
189,576,"[0, 0, 0, 1, 0]",208.0,27.0
190,1319,"[0, 0, 0, 1, 0]",324.0,30.0
191,701,"[0, 0, 0, 1, 0]",201.0,54.0
192,880,"[0, 0, 0, 1, 0]",214.0,139.0
193,75,"[0, 0, 0, 1, 0]",265.0,96.0
194,2373,"[0, 0, 0, 1, 0]",350.0,168.0
195,1704,"[0, 0, 0, 1, 0]",276.0,122.0
196,2073,"[0, 0, 0, 1, 0]",369.0,23.0
197,1663,"[0, 0, 0, 1, 0]",180.0,147.0
