from_stop_I,to_stop_I,label,d,n_vehicles
66,67,"[0, 0, 1, 0, 0]",1134.0,59.0
67,68,"[0, 0, 1, 0, 0]",1035.0,59.0
68,25,"[0, 0, 1, 0, 0]",7459.0,23.0
68,69,"[0, 0, 1, 0, 0]",1259.0,59.0
68,71,"[0, 0, 1, 0, 0]",2686.0,5.0
69,70,"[0, 0, 1, 0, 0]",687.0,59.0
70,71,"[0, 0, 1, 0, 0]",807.0,56.0
70,73,"[0, 0, 1, 0, 0]",2689.0,3.0
71,72,"[0, 0, 1, 0, 0]",1184.0,61.0
72,73,"[0, 0, 1, 0, 0]",916.0,101.0
73,25,"[0, 0, 1, 0, 0]",2837.0,5.0
73,74,"[0, 0, 1, 0, 0]",2073.0,99.0
74,25,"[0, 0, 1, 0, 0]",1585.0,99.0
75,76,"[0, 0, 1, 0, 0]",2134.0,101.0
76,77,"[0, 0, 1, 0, 0]",822.0,99.0
76,79,"[0, 0, 1, 0, 0]",2641.0,5.0
77,78,"[0, 0, 1, 0, 0]",1198.0,59.0
77,159,"[0, 0, 1, 0, 0]",1009.0,35.0
77,160,"[0, 0, 1, 0, 0]",2064.0,5.0
78,79,"[0, 0, 1, 0, 0]",816.0,56.0
78,81,"[0, 0, 1, 0, 0]",2666.0,3.0
79,80,"[0, 0, 1, 0, 0]",676.0,61.0
80,81,"[0, 0, 1, 0, 0]",1244.0,61.0
81,82,"[0, 0, 1, 0, 0]",1047.0,59.0
81,84,"[0, 0, 1, 0, 0]",3818.0,3.0
81,173,"[0, 0, 1, 0, 0]",2106.0,25.0
82,83,"[0, 0, 1, 0, 0]",1175.0,59.0
83,84,"[0, 0, 1, 0, 0]",1610.0,59.0
84,85,"[0, 0, 1, 0, 0]",675.0,59.0
84,87,"[0, 0, 1, 0, 0]",2399.0,5.0
85,86,"[0, 0, 1, 0, 0]",902.0,59.0
86,87,"[0, 0, 1, 0, 0]",1098.0,59.0
87,88,"[0, 0, 1, 0, 0]",1240.0,59.0
87,91,"[0, 0, 1, 0, 0]",5134.0,5.0
88,89,"[0, 0, 1, 0, 0]",1149.0,59.0
89,90,"[0, 0, 1, 0, 0]",611.0,59.0
90,91,"[0, 0, 1, 0, 0]",2318.0,59.0
91,92,"[0, 0, 1, 0, 0]",1514.0,64.0
92,93,"[0, 0, 1, 0, 0]",3460.0,59.0
92,94,"[0, 0, 1, 0, 0]",5548.0,3.0
92,95,"[0, 0, 1, 0, 0]",6803.0,2.0
93,94,"[0, 0, 1, 0, 0]",2247.0,56.0
93,95,"[0, 0, 1, 0, 0]",3428.0,3.0
94,95,"[0, 0, 1, 0, 0]",1270.0,59.0
95,96,"[0, 0, 1, 0, 0]",4323.0,62.0
95,97,"[0, 0, 1, 0, 0]",5529.0,2.0
96,97,"[0, 0, 1, 0, 0]",1229.0,62.0
98,99,"[0, 0, 1, 0, 0]",1274.0,36.0
99,100,"[0, 0, 1, 0, 0]",851.0,36.0
100,101,"[0, 0, 1, 0, 0]",703.0,44.0
101,102,"[0, 0, 1, 0, 0]",693.0,44.0
102,103,"[0, 0, 1, 0, 0]",972.0,44.0
103,104,"[0, 0, 1, 0, 0]",724.0,44.0
104,105,"[0, 0, 1, 0, 0]",911.0,44.0
105,106,"[0, 0, 1, 0, 0]",808.0,44.0
106,107,"[0, 0, 1, 0, 0]",853.0,44.0
107,108,"[0, 0, 1, 0, 0]",731.0,44.0
108,109,"[0, 0, 1, 0, 0]",1139.0,44.0
109,110,"[0, 0, 1, 0, 0]",1370.0,44.0
110,111,"[0, 0, 1, 0, 0]",1024.0,44.0
111,112,"[0, 0, 1, 0, 0]",722.0,44.0
112,113,"[0, 0, 1, 0, 0]",1024.0,44.0
113,25,"[0, 0, 1, 0, 0]",7312.0,8.0
113,114,"[0, 0, 1, 0, 0]",733.0,70.0
114,115,"[0, 0, 1, 0, 0]",768.0,70.0
115,116,"[0, 0, 1, 0, 0]",900.0,70.0
116,117,"[0, 0, 1, 0, 0]",865.0,70.0
117,118,"[0, 0, 1, 0, 0]",1455.0,70.0
118,25,"[0, 0, 1, 0, 0]",2590.0,70.0
119,120,"[0, 0, 1, 0, 0]",946.0,34.0
120,121,"[0, 0, 1, 0, 0]",1558.0,34.0
121,122,"[0, 0, 1, 0, 0]",1219.0,34.0
122,113,"[0, 0, 1, 0, 0]",1446.0,34.0
123,124,"[0, 0, 1, 0, 0]",1483.0,70.0
124,125,"[0, 0, 1, 0, 0]",874.0,70.0
125,126,"[0, 0, 1, 0, 0]",910.0,70.0
126,127,"[0, 0, 1, 0, 0]",761.0,70.0
127,128,"[0, 0, 1, 0, 0]",722.0,70.0
