from_stop_I,to_stop_I,label,d,n_vehicles
73,5,"[0, 0, 0, 1, 0]",325.0,113.0
73,6,"[0, 0, 0, 1, 0]",343.0,68.0
74,76,"[0, 0, 0, 1, 0]",486.0,88.0
74,79,"[0, 0, 0, 1, 0]",607.0,9.0
74,345,"[0, 0, 0, 1, 0]",666.0,240.0
75,49,"[0, 0, 0, 1, 0]",411.0,347.0
75,1354,"[0, 0, 0, 1, 0]",682.0,1.0
76,78,"[0, 0, 0, 1, 0]",200.0,63.0
76,96,"[0, 0, 0, 1, 0]",412.0,39.0
77,79,"[0, 0, 0, 1, 0]",135.0,2.0
77,344,"[0, 0, 0, 1, 0]",132.0,92.0
77,345,"[0, 0, 0, 1, 0]",265.0,9.0
78,82,"[0, 0, 0, 1, 0]",352.0,46.0
78,344,"[0, 0, 0, 1, 0]",237.0,9.0
78,345,"[0, 0, 0, 1, 0]",251.0,17.0
79,77,"[0, 0, 0, 1, 0]",135.0,60.0
79,96,"[0, 0, 0, 1, 0]",397.0,9.0
79,344,"[0, 0, 0, 1, 0]",205.0,2.0
79,409,"[0, 0, 0, 1, 0]",1656.0,1.0
80,237,"[0, 0, 0, 1, 0]",481.0,2.0
80,238,"[0, 0, 0, 1, 0]",438.0,68.0
81,381,"[0, 0, 0, 1, 0]",503.0,69.0
82,84,"[0, 0, 0, 1, 0]",390.0,46.0
83,79,"[0, 0, 0, 1, 0]",387.0,44.0
84,86,"[0, 0, 0, 1, 0]",400.0,46.0
85,83,"[0, 0, 0, 1, 0]",346.0,44.0
86,211,"[0, 0, 0, 1, 0]",592.0,46.0
87,85,"[0, 0, 0, 1, 0]",398.0,44.0
88,410,"[0, 0, 0, 1, 0]",280.0,30.0
89,91,"[0, 0, 0, 1, 0]",265.0,30.0
90,88,"[0, 0, 0, 1, 0]",268.0,30.0
91,402,"[0, 0, 0, 1, 0]",408.0,30.0
92,90,"[0, 0, 0, 1, 0]",292.0,30.0
93,92,"[0, 0, 0, 1, 0]",268.0,30.0
94,97,"[0, 0, 0, 1, 0]",266.0,32.0
94,240,"[0, 0, 0, 1, 0]",221.0,30.0
95,93,"[0, 0, 0, 1, 0]",494.0,30.0
96,240,"[0, 0, 0, 1, 0]",461.0,41.0
96,409,"[0, 0, 0, 1, 0]",1285.0,7.0
97,77,"[0, 0, 0, 1, 0]",268.0,43.0
97,78,"[0, 0, 0, 1, 0]",347.0,10.0
98,1131,"[0, 0, 0, 1, 0]",3324.0,62.0
99,53,"[0, 0, 0, 1, 0]",855.0,57.0
99,97,"[0, 0, 0, 1, 0]",1665.0,2.0
99,409,"[0, 0, 0, 1, 0]",762.0,5.0
100,102,"[0, 0, 0, 1, 0]",229.0,88.0
101,153,"[0, 0, 0, 1, 0]",339.0,90.0
102,104,"[0, 0, 0, 1, 0]",323.0,88.0
103,101,"[0, 0, 0, 1, 0]",225.0,90.0
104,106,"[0, 0, 0, 1, 0]",318.0,88.0
105,103,"[0, 0, 0, 1, 0]",389.0,90.0
106,109,"[0, 0, 0, 1, 0]",244.0,39.0
106,154,"[0, 0, 0, 1, 0]",425.0,49.0
107,105,"[0, 0, 0, 1, 0]",441.0,90.0
108,117,"[0, 0, 0, 1, 0]",278.0,31.0
109,111,"[0, 0, 0, 1, 0]",341.0,39.0
110,107,"[0, 0, 0, 1, 0]",127.0,41.0
111,113,"[0, 0, 0, 1, 0]",247.0,39.0
112,110,"[0, 0, 0, 1, 0]",333.0,41.0
113,112,"[0, 0, 0, 1, 0]",280.0,41.0
114,108,"[0, 0, 0, 1, 0]",452.0,30.0
114,116,"[0, 0, 0, 1, 0]",353.0,236.0
115,76,"[0, 0, 0, 1, 0]",611.0,14.0
115,79,"[0, 0, 0, 1, 0]",639.0,12.0
115,344,"[0, 0, 0, 1, 0]",558.0,245.0
116,118,"[0, 0, 0, 1, 0]",178.0,236.0
117,115,"[0, 0, 0, 1, 0]",283.0,271.0
118,120,"[0, 0, 0, 1, 0]",532.0,34.0
118,139,"[0, 0, 0, 1, 0]",360.0,154.0
118,141,"[0, 0, 0, 1, 0]",852.0,48.0
119,117,"[0, 0, 0, 1, 0]",413.0,240.0
120,122,"[0, 0, 0, 1, 0]",205.0,73.0
121,139,"[0, 0, 0, 1, 0]",200.0,40.0
121,140,"[0, 0, 0, 1, 0]",255.0,35.0
122,123,"[0, 0, 0, 1, 0]",583.0,39.0
122,417,"[0, 0, 0, 1, 0]",1614.0,34.0
123,125,"[0, 0, 0, 1, 0]",290.0,39.0
124,121,"[0, 0, 0, 1, 0]",743.0,40.0
125,127,"[0, 0, 0, 1, 0]",279.0,39.0
126,124,"[0, 0, 0, 1, 0]",360.0,40.0
127,129,"[0, 0, 0, 1, 0]",339.0,39.0
128,126,"[0, 0, 0, 1, 0]",273.0,40.0
129,130,"[0, 0, 0, 1, 0]",466.0,176.0
130,131,"[0, 0, 0, 1, 0]",335.0,176.0
131,132,"[0, 0, 0, 1, 0]",266.0,176.0
132,133,"[0, 0, 0, 1, 0]",346.0,176.0
133,134,"[0, 0, 0, 1, 0]",326.0,176.0
134,135,"[0, 0, 0, 1, 0]",249.0,176.0
135,136,"[0, 0, 0, 1, 0]",452.0,176.0
136,137,"[0, 0, 0, 1, 0]",333.0,128.0
137,138,"[0, 0, 0, 1, 0]",214.0,128.0
138,128,"[0, 0, 0, 1, 0]",30.0,40.0
138,142,"[0, 0, 0, 1, 0]",206.0,49.0
139,199,"[0, 0, 0, 1, 0]",1343.0,47.0
139,200,"[0, 0, 0, 1, 0]",597.0,126.0
139,1187,"[0, 0, 0, 1, 0]",2660.0,21.0
140,119,"[0, 0, 0, 1, 0]",215.0,191.0
141,129,"[0, 0, 0, 1, 0]",303.0,48.0
142,119,"[0, 0, 0, 1, 0]",797.0,49.0
143,37,"[0, 0, 0, 1, 0]",205.0,35.0
144,451,"[0, 0, 0, 1, 0]",393.0,34.0
145,450,"[0, 0, 0, 1, 0]",441.0,35.0
146,164,"[0, 0, 0, 1, 0]",156.0,34.0
147,35,"[0, 0, 0, 1, 0]",380.0,88.0
