from_stop_I,to_stop_I,label,d,n_vehicles
1176,1990,"[0, 0, 0, 1, 0]",429.0,142.0
1176,2833,"[0, 0, 0, 1, 0]",544.0,49.0
1177,2752,"[0, 0, 0, 1, 0]",413.0,48.0
1177,2756,"[0, 0, 0, 1, 0]",393.0,96.0
1177,2758,"[0, 0, 0, 1, 0]",404.0,50.0
1180,1296,"[0, 0, 0, 1, 0]",459.0,145.0
1181,3133,"[0, 0, 0, 1, 0]",190.0,101.0
1181,3252,"[0, 0, 0, 1, 0]",2118.0,41.0
1182,2044,"[0, 0, 0, 1, 0]",319.0,1.0
1183,2085,"[0, 0, 0, 1, 0]",343.0,1.0
1184,2046,"[0, 0, 0, 1, 0]",352.0,81.0
1185,2956,"[0, 0, 0, 1, 0]",308.0,82.0
1186,1425,"[0, 0, 0, 1, 0]",546.0,41.0
1187,3105,"[0, 0, 0, 1, 0]",396.0,41.0
1188,1189,"[0, 0, 0, 1, 0]",51.0,128.0
1189,2216,"[0, 0, 0, 1, 0]",148.0,38.0
1189,2518,"[0, 0, 0, 1, 0]",202.0,128.0
1190,2925,"[0, 0, 0, 1, 0]",400.0,39.0
1191,1847,"[0, 0, 0, 1, 0]",718.0,42.0
1192,3380,"[0, 0, 0, 1, 0]",476.0,41.0
1193,1118,"[0, 0, 0, 1, 0]",456.0,1.0
1194,3372,"[0, 0, 0, 1, 0]",370.0,2.0
1195,2977,"[0, 0, 0, 1, 0]",519.0,57.0
1196,1131,"[0, 0, 0, 1, 0]",355.0,57.0
1197,3032,"[0, 0, 0, 1, 0]",481.0,95.0
1198,1655,"[0, 0, 0, 1, 0]",434.0,96.0
1198,1815,"[0, 0, 0, 1, 0]",321.0,2.0
1199,3032,"[0, 0, 0, 1, 0]",487.0,3.0
1199,3513,"[0, 0, 0, 1, 0]",365.0,53.0
1200,1815,"[0, 0, 0, 1, 0]",371.0,54.0
1201,3213,"[0, 0, 0, 1, 0]",411.0,60.0
1202,1682,"[0, 0, 0, 1, 0]",371.0,59.0
1203,1545,"[0, 0, 0, 1, 0]",388.0,75.0
1204,3418,"[0, 0, 0, 1, 0]",417.0,74.0
1205,2349,"[0, 0, 0, 1, 0]",330.0,105.0
1206,2351,"[0, 0, 0, 1, 0]",501.0,106.0
1207,2871,"[0, 0, 0, 1, 0]",365.0,78.0
1208,1891,"[0, 0, 0, 1, 0]",335.0,78.0
1209,2885,"[0, 0, 0, 1, 0]",470.0,70.0
1210,3339,"[0, 0, 0, 1, 0]",320.0,69.0
1211,1877,"[0, 0, 0, 1, 0]",220.0,56.0
1211,3497,"[0, 0, 0, 1, 0]",133.0,39.0
1212,2236,"[0, 0, 0, 1, 0]",258.0,93.0
1213,1706,"[0, 0, 0, 1, 0]",411.0,75.0
1214,1709,"[0, 0, 0, 1, 0]",276.0,72.0
1215,3150,"[0, 0, 0, 1, 0]",394.0,45.0
1216,1622,"[0, 0, 0, 1, 0]",312.0,45.0
1217,2901,"[0, 0, 0, 1, 0]",235.0,39.0
1218,3258,"[0, 0, 0, 1, 0]",299.0,127.0
1219,2370,"[0, 0, 0, 1, 0]",286.0,127.0
1220,2154,"[1, 0, 0, 0, 0]",495.0,263.0
1220,2548,"[1, 0, 0, 0, 0]",286.0,293.0
1222,3392,"[0, 0, 0, 1, 0]",332.0,67.0
1223,2985,"[0, 0, 0, 1, 0]",501.0,130.0
1224,1755,"[0, 0, 0, 1, 0]",447.0,76.0
1224,1897,"[0, 0, 0, 1, 0]",161.0,38.0
1224,2873,"[0, 0, 0, 1, 0]",211.0,40.0
1224,3154,"[0, 0, 0, 1, 0]",231.0,129.0
1225,3476,"[0, 0, 0, 1, 0]",255.0,280.0
1226,1897,"[0, 0, 0, 1, 0]",131.0,61.0
1227,2270,"[0, 0, 0, 1, 0]",281.0,60.0
1228,2716,"[0, 0, 0, 1, 0]",366.0,59.0
1229,2274,"[0, 0, 0, 1, 0]",221.0,49.0
1229,3276,"[0, 0, 0, 1, 0]",171.0,6.0
1230,2700,"[0, 0, 0, 1, 0]",256.0,53.0
1231,2127,"[0, 0, 0, 1, 0]",298.0,2.0
1232,2384,"[0, 0, 0, 1, 0]",394.0,32.0
1233,3486,"[0, 0, 0, 1, 0]",1032.0,33.0
1234,2167,"[0, 0, 0, 1, 0]",205.0,129.0
1235,3447,"[0, 0, 0, 1, 0]",265.0,130.0
1237,2091,"[0, 0, 0, 1, 0]",539.0,1.0
1238,1547,"[0, 0, 0, 1, 0]",161.0,49.0
1238,2486,"[0, 0, 0, 1, 0]",382.0,56.0
1238,3261,"[0, 0, 0, 1, 0]",246.0,48.0
1239,2820,"[0, 0, 0, 1, 0]",388.0,108.0
1239,2821,"[0, 0, 0, 1, 0]",400.0,43.0
1240,2510,"[0, 0, 0, 1, 0]",562.0,53.0
1241,2061,"[0, 0, 0, 1, 0]",458.0,52.0
1242,2435,"[0, 0, 0, 1, 0]",496.0,70.0
1243,3208,"[0, 0, 0, 1, 0]",414.0,70.0
1244,2025,"[0, 0, 0, 1, 0]",460.0,100.0
1245,1658,"[0, 0, 0, 1, 0]",389.0,100.0
1246,2069,"[1, 0, 0, 0, 0]",545.0,231.0
1246,2207,"[1, 0, 0, 0, 0]",237.0,231.0
1248,2542,"[0, 0, 0, 1, 0]",201.0,47.0
1249,3277,"[0, 0, 0, 1, 0]",234.0,46.0
1250,1333,"[0, 0, 0, 1, 0]",319.0,90.0
1251,2298,"[0, 0, 0, 1, 0]",470.0,74.0
1251,2299,"[0, 0, 0, 1, 0]",413.0,2.0
1251,2302,"[0, 0, 0, 1, 0]",569.0,17.0
1252,1926,"[0, 0, 0, 1, 0]",317.0,43.0
1253,2214,"[0, 0, 0, 1, 0]",3725.0,1.0
1253,2311,"[0, 0, 0, 1, 0]",438.0,42.0
1254,2512,"[0, 0, 0, 1, 0]",515.0,10.0
1255,1150,"[0, 0, 0, 1, 0]",631.0,13.0
1256,2780,"[0, 0, 0, 1, 0]",1075.0,11.0
1257,3460,"[0, 0, 0, 1, 0]",438.0,11.0
1258,1729,"[1, 0, 0, 0, 0]",335.0,231.0
1258,2069,"[1, 0, 0, 0, 0]",358.0,225.0
1260,1623,"[0, 0, 0, 1, 0]",247.0,39.0
1261,1946,"[0, 0, 0, 1, 0]",210.0,39.0
1262,3465,"[0, 0, 0, 1, 0]",160.0,37.0
1263,3083,"[0, 0, 0, 1, 0]",177.0,44.0
1264,3549,"[0, 0, 0, 1, 0]",410.0,45.0
1265,3352,"[0, 0, 0, 1, 0]",262.0,45.0
1266,1910,"[0, 0, 0, 1, 0]",291.0,43.0
1267,2076,"[0, 0, 0, 1, 0]",469.0,41.0
1267,2077,"[0, 0, 0, 1, 0]",385.0,2.0
1268,2528,"[0, 0, 0, 1, 0]",241.0,136.0
1269,2882,"[0, 0, 0, 1, 0]",302.0,98.0
1269,3404,"[0, 0, 0, 1, 0]",544.0,41.0
1270,1591,"[0, 0, 0, 1, 0]",228.0,47.0
1271,1158,"[0, 0, 0, 1, 0]",497.0,50.0
1272,2778,"[0, 0, 0, 1, 0]",250.0,118.0
1273,1443,"[0, 0, 0, 1, 0]",177.0,117.0
1274,2336,"[0, 0, 0, 1, 0]",422.0,45.0
1275,1986,"[0, 0, 0, 1, 0]",337.0,45.0
1276,1888,"[0, 0, 0, 1, 0]",471.0,118.0
1277,2013,"[0, 0, 0, 1, 0]",464.0,45.0
1277,2016,"[0, 0, 0, 1, 0]",384.0,74.0
1278,1921,"[0, 0, 0, 1, 0]",407.0,41.0
1278,1922,"[0, 0, 0, 1, 0]",496.0,53.0
1279,3281,"[0, 0, 0, 1, 0]",170.0,42.0
1279,3492,"[0, 0, 0, 1, 0]",398.0,52.0
1280,1499,"[0, 0, 0, 1, 0]",113.0,72.0
1281,1651,"[0, 0, 0, 1, 0]",277.0,73.0
1282,1811,"[0, 0, 0, 1, 0]",357.0,39.0
1283,3017,"[0, 0, 0, 1, 0]",170.0,40.0
1284,2467,"[0, 0, 0, 1, 0]",285.0,1.0
1285,2975,"[0, 0, 0, 1, 0]",288.0,47.0
1286,3344,"[0, 0, 0, 1, 0]",360.0,45.0
1287,1287,"[0, 0, 0, 1, 0]",0.0,45.0
1287,1289,"[0, 0, 0, 1, 0]",64.0,46.0
1287,3063,"[0, 0, 0, 1, 0]",560.0,45.0
1288,3120,"[0, 0, 0, 1, 0]",285.0,90.0
1289,1288,"[0, 0, 0, 1, 0]",90.0,45.0
1290,1130,"[0, 0, 0, 1, 0]",290.0,57.0
1291,1944,"[0, 0, 0, 1, 0]",371.0,57.0
1292,1417,"[0, 0, 0, 1, 0]",641.0,47.0
1293,1447,"[0, 0, 0, 1, 0]",485.0,50.0
1294,2147,"[1, 0, 0, 0, 0]",447.0,167.0
1296,3231,"[0, 0, 0, 1, 0]",153.0,145.0
1297,1181,"[0, 0, 0, 1, 0]",425.0,142.0
1298,3099,"[0, 0, 0, 1, 0]",278.0,32.0
1299,2474,"[0, 0, 0, 1, 0]",250.0,32.0
1300,2796,"[0, 0, 0, 1, 0]",243.0,29.0
1301,2536,"[0, 0, 0, 1, 0]",591.0,28.0
1302,2632,"[0, 0, 0, 1, 0]",407.0,13.0
1303,2230,"[0, 0, 0, 1, 0]",330.0,10.0
1304,1478,"[0, 0, 0, 1, 0]",341.0,37.0
1305,2569,"[0, 0, 0, 1, 0]",226.0,38.0
1306,1535,"[0, 0, 0, 1, 0]",300.0,72.0
1307,3157,"[0, 0, 0, 1, 0]",915.0,75.0
1308,2999,"[0, 0, 0, 1, 0]",228.0,36.0
1309,2478,"[0, 0, 0, 1, 0]",516.0,37.0
1310,3109,"[0, 0, 0, 1, 0]",623.0,32.0
1311,1917,"[0, 0, 0, 1, 0]",859.0,33.0
1312,2709,"[0, 0, 0, 1, 0]",302.0,49.0
1313,2397,"[0, 0, 0, 1, 0]",272.0,48.0
1314,1958,"[0, 0, 0, 1, 0]",189.0,24.0
1315,1389,"[0, 0, 0, 1, 0]",389.0,17.0
1316,3223,"[1, 0, 0, 0, 0]",268.0,175.0
1317,3186,"[1, 0, 0, 0, 0]",377.0,181.0
